authority,species,synonym,common name,notes,form,growth.form,height,habitat,riparian,fruit.type,category,dispersal.adaptations,seed.mass,syndrome1,syndrome2,mechanism1,mechanism2,mechanism3,mechanism4,mechanism5,distance,dispersal.ref,NZ.dispersal.notes,overseas.dispersal.notes,DW.dispersal.notes,NZseeds,NZFloraOnline,NZPCN,Kew SID,n_mech,n_synd,n_nonstd_mech
Ludwigia peploides (Kunth) P.H.Raven,Ludwigia peploides,NA,water primrose,"stems creeping or floating, rooting at nodes, with pneumatophores sometimes present below water",NA,herb,NA,"NZ Flora Online:  coast, lake margin, lowland, margin, moist, open, pasture, peat, sand, sheltered, shrubland, silt, stone, wetland; NZPCN: Still and slow flowing shallow water bodies.",riparian,capsule,aquatic,none,0.0015436,unspecialised,NA,water,internal,NA,NA,NA,NA,"Marchant & Higgins 1990a; Kehr et al 2014; Almeida et al. 2022, 2025",NA,"dispersed by hydrochory, viable seeds sampled from water (Kehr et al 2014). Ludwigia sp.: Water?; Assumption based upon diaspore morphology; (Foster et al., 1986, cited in Kew SID); one non-viable seed recovered from teal faeces (Reynolds et al. 2015).  seeds ingested by waterfowl in Europe (Almeida et al. 2022) and North America (Almeida et al. 2025). seeds in grey teal gizzard and grey duck in NSW Australia (Marchant & Higgins 1990a).",dispersal based on morphology,NA,2022-06-08T00:00:00Z,45048,2022-06-21T00:00:00Z,2,1,2
Luma apiculata (DC.) Burret,Luma apiculata,Myrtus luma,Chilean myrtle or arrayan,see Sykes 2002 for species details. Small tree to 7 or 8 m high. Seed mass from Lusk & Kelly 2003,NA,tree,8,Sykes 2002: mixed podocarp-hardwood stand,NA,berry,fleshy,fleshy,0.0174,internal,NA,internal,NA,NA,NA,NA,NA,Heenan et al. 2004,fruits are bird dispersed (Heenan et al. 2004),NA,NA,NA,NA,NA,NA,1,1,0
Lupinus arboreus Sims,Lupinus arboreus,NA,tree lupin,dehiscent pod,NA,shrub,3,"NZ Flora Online: bank, clay, cliff, coast, dry, flat , forest, gravel, hill, lake margin, margin, open, pasture, ridge, riparian, riverbed, roadside, rock outcrop, sand, shrubland, slope, wasteland; NZPCN: Short tussockland, bare land, riverbeds, coastal sandy and well drained areas.",riparian,pod,dry,explosively dehiscent pod,0.03276,ballistic,NA,ballistic,NA,NA,NA,NA,NA,NZPCN,Seed pod splits explosively to disperse seeds (NZPCN); no structures directly aiding active seed dispersal and large seeds >10 mg (Esler 1988),"L. angustifolius: Methods originating from parent plant or diaspore; Explosive mechanism; Direct or experimental observation; (Kozlowski, 1972, cited in Kew SID); Diaspore=seed. Legume dehisces explosively. L. nootkatensis: Water; Floating in freshwater currents; Assumption based upon the ecology/distribution of the species; (Ridley, 1930); The diaspore is buoyant.",NA,NA,2022-06-08T00:00:00Z,45049,2022-06-21T00:00:00Z,1,1,0
Lupinus polyphyllus Lindl.,Lupinus polyphyllus,NA,russell lupin,dehiscent pod; Infl. 15–60 cm long,NA,herb,0.6,"NZ Flora Online: bank, clay, coast, dry, gap, gravel, hill, loam, lowland, margin, open, pasture, riverbed, roadside, sand, shrubland, slope, track, wasteland; NZPCN: Establishes in waste places and lowland areas, streams, riverbeds and disturbed montane to subalpine areas.",riparian,pod,dry,explosively dehiscent pod,0.021,ballistic,NA,ballistic,water,NA,NA,NA,NA,Timmins & Mackenzie 1995,"Explosive mechanism, humans, tourists, waterways (particularly in floods) (Timmins & MacKenzie 1995).","L. angustifolius: Methods originating from parent plant or diaspore; Explosive mechanism; Direct or experimental observation; (Kozlowski, 1972, cited in Kew SID); Diaspore=seed. Legume dehisces explosively. L. nootkatensis: Water; Floating in freshwater currents; Assumption based upon the ecology/distribution of the species; (Ridley, 1930); The diaspore is buoyant.",NA,NA,2022-06-08T00:00:00Z,45049,2022-06-21T00:00:00Z,2,1,1
Lycium ferocissimum Miers,Lycium ferocissimum,NA,boxthorn,"shrub, 1–6 m high",NA,shrub,6,"NZ Flora Online: bank, cliff, coast, dry, forest, gravel, gully, hill, lowland, margin, open, pasture, ridge, roadside, rock outcrop, sand, sheltered, shrubland, slope, stone, terrace. NZPCN: A plant of lowland and coastal habitats. A plant of low fertility sites. The plant occurs in sites with stony ground and gravel, as well as ungrazed areas. A plant that occurs in sand dunes. Other sites that the plant occurs are shrublands, coastal scrub (Porteus 1993) and other coastal area as well as scrub on cliffs, banks and roadsides. A plant of coastal shrublands and disturbed waste places.",NA,berry,fleshy,fleshy,0.00254,internal,NA,internal,NA,NA,NA,NA,NA,Marchant & Higgins 1990b; Fromont & King 1992; Timmins & Mackenzie 1995; Atkinson 1997; Higgins et al. 2006,"starlings main disperser of seeds to islands (Cox et al. 1967, cited in Atkinson 1997).",Banded rail recorded feeding on fruits and seeds in Australia (Marchant & Higgins 1990b). Fruits eaten by silvereyes in Australia (Higgins et al. 2006).,NA,NA,2022-06-08T00:00:00Z,45096,2023-06-19T00:00:00Z,1,1,0
Lycopus europaeus L.,Lycopus europaeus,NA,gypsywort,NA,NA,herb,1,"NZPCN: Lake and river margins, drains and swamps, often growing at the base of raupo and tall sedges.",riparian,nutlet,dry,buoyant seed,3e-4,water,NA,water,internal,attachment,NA,NA,NA,Couvreur et al. 2004; van den Broek et al. 2005; Rosenthal 2006; Albert et al. 2015; Almeida et al. 2022; NZPCN,"Seed dispersed by water, footwear or contaminated machinery (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA))","high terminal velocity (Soomers et al. 2013); experiments show seeds are highly buoyant (van den Broek et al. 2005); water - floating tissue, seed specific weight <1; wind - flattened or winged seed (Rosenthal 2006). Seeds are dispersed by deer internally (sometimes; Albert et al. 2015). Seeds dispersed attached to cattle fur (Couvreur et al. 2004). seeds ingested by waterfowl (Almeida et al. 2022).",NA,NA,2022-06-08T00:00:00Z,45049,2022-06-21T00:00:00Z,3,1,2
Lythrum salicaria L.,Lythrum salicaria,NA,purple loosestrife,"NZ Flora Online: 1-2m tall; Normally 60-100 cm tall, but can grow taller (NZPCN)",NA,herb,1,"NZ Flora Online: bank, clay, coast, flat , gap, lake margin, log, lowland, margin, moist, open, pasture, riparian, roadside, sand, shaded, silt, stone, terrace, wasteland, wetland; NZPCN: Lake margins and other wetlands.",riparian,capsule,dry,buoyant seed,7.000000000000001e-5,water,NA,water,attachment,internal,wind.none,NA,NA,"Couvreur et al. 2004; Albert et al. 2015; Almeida et al. 2022; Rutledge & McLendon, sine anno","Dispersed via seed or vegetative fragments. Water dispersed, also deliberate planting (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA))","Water; Floating in freshwater currents; Direct or experimental observation; Also dispersed by animals (livestock and wild animals), wind and via vegetative spread; Diaspore=seed; The diaspore is buoyant; Seed may also attach to clothing of humans (Rutledge & McLendon, sine anno, cited in Kew SID).  Seeds are dispersed by deer internally (sometimes; Albert et al. 2015). Seeds dispersed attached to cattle, donkey and horse fur (Couvreur et al. 2004). seeds ingested by waterfowl (Almeida et al. 2022).",NA,NA,2022-06-08T00:00:00Z,45049,2022-06-21T00:00:00Z,4,1,3
Malva arborea (L.) Webb & Berthel.,Malva arborea,Lavatera arborea,tree mallow,2–(3) m high,NA,herb,2,"NZPCN: Waste places, cultivated land, Coastal sites",NA,mericarp,dry,none,0.01269,unspecialised,NA,unknown,NA,NA,NA,NA,NA,NA,"Lavatera cretica has no structures directly aiding active seed dispersal and large seeds >10 mg (Esler 1988); NZPCN: Spreads by seed, 6-8 seeds produced by each fruit. Dispersed by soil movement.",NA,dispersal based on morphology,NA,2022-06-08T00:00:00Z,45049,2022-06-22T00:00:00Z,0,1,0
Maytenus boaria Molina,Maytenus boaria,NA,Chilean mayten,large shrub or small tree up to 10 m; arils red,shrub-tree,shrub,10,"understorey of open native bush, among scrub and grasses (Heenan et al. 1999)",NA,capsule,fleshy,arillate seed,0.01455,internal,NA,internal,NA,NA,NA,NA,NA,NZPCN,bird dispersed (NZPCN),NA,NA,NA,2022-06-08T00:00:00Z,45096,2023-06-19T00:00:00Z,1,1,0
Medicago lupulina L.,Medicago lupulina,NA,black medick,NA,NA,herb,NA,"mainly confined to stony, lime-containing soils, especially along rocky beaches, rivers and roads, and railway verges; riverbeds (Lammerink 1968)",riparian,pod,dry,none,0.0016,unspecialised,NA,internal,water,NA,NA,NA,NA,"Lammerink 1968; Dunbier 1972; Turkington & Cavers 1979; McIntyre et al. 1995; Bartuszevige & Endress 2008; Albert et al. 2015; Almeida et al. 2022, 2025",seed is readily dispersed by sheep (Lammerink 1968); The seeds of M. lupulina are able to pass through the digestive tract of grazing animals and remain viable (Dunbier 1972),"Seeds are dispersed internally by deer (sometimes) but not on deer fur or hooves (Albert et al. 2015); seeds can be dispersed great distances by birds and grazing animals (Sidhu 1971, cited in Turkington & Cavers 1979); seeds can float in water for up to 5 days (Ridley 1930, cited in Turkington & Cavers 1979); viable seeds dispersed in cattle faeces (Bartuszevige & Endress 2008); undefined seed dispersal morphology (McIntyre et al. 1995);  seeds ingested by waterfowl in Europe (Almeida et al. 2022) and North America (Almeida et al. 2025).",NA,NA,2022-06-15T00:00:00Z,NA,2022-06-22T00:00:00Z,2,1,2
Melianthus major L.,Melianthus major,NA,cape honey flower,NA,NA,shrub,2,"NZ Flora Online: clay, coast, dry, hill, lowland, open, pasture, ridge, sand, shaded, sheltered, shrubland, slope, stone, wasteland",NA,capsule,dry,winged fruit,0.031150999999999998,water,NA,water,wind.none,internal,NA,NA,NA,Simpson 1971; Fromont & King 1992; Burrows 1994; SID,undamaged seeds of cape honeyflower (Melianthus major) were the main component of the gizzard contents of a Northland kiwi (Simpson 1971).,"Fruit is rolled along ground surface by wind; the diaspore is buoyant (Ridley 1930, cited in Kew Seed Information Database)",NA,NA,2022-06-08T00:00:00Z,NA,2022-06-22T00:00:00Z,3,1,2
Miscanthus nepalensis (Trin.) Hack.,Miscanthus nepalensis,NA,Himalayan fairy grass,NA,grass,herb,2,"NZ Flora Online:  bank, clay, coast, dry, forest, forest edge, hill, lowland, open, pasture, roadside, rock outcrop, shaded, slope, stone, wasteland; NZPCN: Waste areas, spreading from roadsides",NA,caryopsis,dry,plumed seed,NA,wind,NA,wind,NA,NA,NA,NA,NA,SID,NA,"Wind; Diaspore is blown by wind; Method not stated; The seed is plumed (Ridley, 1930, cited in Kew Seed Information Database)",NA,NA,2022-06-08T00:00:00Z,45049,2022-06-22T00:00:00Z,1,1,0
Moraea flaccida (Sweet) Steud.,Moraea flaccida,NA,Cape tulip,25-60 cm tall,NA,herb,0.6,NZPCN: Pasture and grassy waste land in scattered localities,NA,capsule,dry,none,0.00311,unspecialised,NA,wind.none,water,attachment,NA,NA,NA,van Kleunen et al. 2008; NZPCN,"Seeds spread by wind, corms and seeds spread by water, and on mud spread by animals, implements and vehicles (NZPCN).",van Kleunen et al. 2008: does not appear to have any specific dispersal syndromes,NA,NA,2022-06-08T00:00:00Z,45049,2022-06-22T00:00:00Z,3,1,3
Myoporum insulare R.Br.,Myoporum insulare,NA,Australian ngaio,Large shrub or small tree,shrub-tree,shrub,NA,"NZ Flora Online:  bank, cliff, coast, dry, hill, lava, margin, open, ridge, rock outcrop, sand, shaded, sheltered, shrubland, slope, terrace, wasteland. NZPCN: Coastal areas, sandy sites behind beaches",NA,drupe,fleshy,fleshy,0.01466,internal,NA,internal,water,NA,NA,NA,NA,Higgins et al. 2006; Guja et al. 2010,NA,"primary dispersal mechanism is zoochory; seeds survived exposure to seawater for 70 days with minimal or no impact on germination, c. 25% of seeds floated initially but % floating declined fairly quickly - maximum floating time was 10 days (Guja et al. 2010). Fruits eaten by silvereyes in Australia (Higgins et al. 2006).",NA,NA,2022-06-08T00:00:00Z,45096,2023-06-19T00:00:00Z,2,1,1
Myricaria germanica (L.) Desv.,Myricaria germanica,NA,false tamarisk,"not in flora (see Heenan et al. 1999); in NZ Flora Online: plumose hairs at seed tip, seed apex feather-like",NA,shrub,1.5,"NZ Flora Online: bank, dry, gravel, hill, margin, moist, montane, open, riverbed, sand, slope, stone, terrace, track; NZPCN: Stony or muddy ground within braided river beds",riparian,capsule,dry,plumed seed,4.7300000000000005e-5,wind,NA,wind,water,NA,NA,NA,"78.3% of seeds trapped within 10m of parent plants, some seeds trapped 50m from parent plants (Fink et al. 2017)",Werth & Scheidegger 2014; Fink et al. 2017; Fink et al. 2022,Appears to have well developed dispersal techniques - probably by wind and possibly vegetatively; May spread downstream during floods (NZPCN).,capable of both wind and water dispersal (Werth & Scheidegger 2014; Fink et al. 2022; Fink et al. 2017),NA,NA,2022-06-08T00:00:00Z,45049,2022-06-22T00:00:00Z,2,1,1
Myriophyllum aquaticum (Vell.) Verdc.,Myriophyllum aquaticum,NA,parrot's feather,Does not produce seeds (Webb et al. 1988),NA,NA,NA,NA,NA,mericarp,aquatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,2022-06-08T00:00:00Z,NA,NA,0,0,NA
Nardus stricta L.,Nardus stricta,NA,mat grass,seed has long awns (Mouissie et al. 2005),grass,herb,0.3,"NZ Flora Online: clay, flat , grassland, hill, moist, open, pasture, peat, slope, track; NZPCN: Acid and damp but not permanently wet soils, e.g. edges of tarns, ephemeral wetlands, subalpine bogs, roadside ditches, damp soil and depressions on semi-natural tussock or pastoral land.",NA,caryopsis,dry,long awns,4e-4,attachment,NA,attachment,internal,NA,NA,NA,NA,Welch 1985; Mouissie et al. 2005,NA,"seeds attached to fleece only on the head of sheep (low growing grass species), also attached to both sheep and cattle experimental dummies (Mouissie et al. 2005). Seed germinated from cattle dung (Welch 1985).",dispersal based on morphology,NA,2022-06-08T00:00:00Z,NA,2022-06-22T00:00:00Z,2,1,1
Nassella neesiana (Trin. & Rupr.) Barkworth,Nassella neesiana,Stipa neesiana,Chilean needle grass,"awn at top of panicle seed, cleistogene (hidden seed) lacks awn; sharp seed callus is covered in backward pointing hairs that readily attach to animals, machinery and clothing, aiding dispersal; panicle seed mass = 6.7 mg, cleistogene mass = 2.1 mg (Gardener et al. 2005)",grass,herb,1.2,"NZ Flora Online: dry, lava, margin, open, pasture, roadside, slope",NA,caryopsis,dry,"awn, backward pointing callus hairs",0.0067,attachment,NA,attachment,internal,wind.none,water,NA,NA,Gardener et al. 2003; Humphries & Florentine 2021; NZPCN,"Restricted distribution due to a lack of wind dispersal; localised spread occurs through seed being transported by stock, in hay, on clothing, by machinery and in water (NZPCN)","Seeds dispersed most effectively by attachment to sheep fleece, 25% of seeds picked up on sheep wool after grazing in paddock with this species was still present after 5 months; 2-5% of seeds fed to cattle passed intact and 30-50% were viable; most wind dispersed seeds were within 1m of parent and furthest seeds 2.8m away (Gardener et al. 2003); Humphries & Florentine 2021: ""Attachment to passing animals/human or machinery. Stem seeds are dispersed by disturbances.""",dispersal based on morphology,NA,2022-06-08T00:00:00Z,45051,NA,4,1,3
Nassella tenuissima (Trin.) Barkworth,Nassella tenuissima,Stipa tenuissima,NA,awn at top of seed,grass,herb,0.7,"NZ Flora Online: bank, forest, gravel, margin, open, roadside",NA,caryopsis,dry,light seed,3.1e-4,unspecialised,NA,wind.none,NA,NA,NA,NA,NA,Humphries & Florentine 2021,NA,"""The light seeds are dispersed most effectively by wind"" (Humphries & Florentine 2021).",dispersal based on morphology,NA,2022-06-08T00:00:00Z,NA,2023-05-05T00:00:00Z,1,1,1
Nassella trichotoma (Nees) Hack. ex Arechav.,Nassella trichotoma,Stipa trichotoma,nassella tussock,awn at top of seed,grass,herb,0.7,"NZ Flora Online:  bank, clay, cliff, coast, dry, flat , grassland, gravel, hill, lowland, open, pasture, river terrace, riverbed, roadside, rock outcrop, sand, silt, slope, stone, terrace, wasteland",riparian,caryopsis,dry,panicle detaches easily in wind,NA,wind,NA,wind,attachment,internal,NA,NA,wind dispersed up to 16 km,Hilgendorf & Calder 1967; Cronk & Fuller 1995; Humphries & Florentine 2021; Timmins & Mackenzie 1995; NZPCN,"Reproduces by seed only. Dispersed by wind, up to 16km from the mother plant. The seeds, aided by the roughened seed coat and the tufts of hairs at the base, also cling to wool, bags, clothing etc. Seeds are also spread on machinery, in hay, mud and the droppings of animals (NZPCN); ""flower heads break off easily when ripe and so the seeds are carried long distances, as is shown by the masses of flower heads that sometimes acumulate on fences and telegraph wires"" (Hilgendorf & Calder 1967).","""Panicle detaches in the wind, which carries the panicle containing the seeds great distances"" (Humphries & Florentine 2021); wind dispersed (Cronk & Fuller 1995);",NA,NA,2022-06-08T00:00:00Z,NA,NA,3,1,2
Nephrolepis cordifolia (L.) C.Presl,Nephrolepis cordifolia,NA,tuber sword-fern,NA,NA,NA,NA,NA,NA,spore,fern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-08T00:00:00Z,NA,NA,0,0,NA
Nymphaea alba L.,Nymphaea alba,NA,water lily,"rarely reproduces by seed (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)); Nymphaea spp. Fruit berry-like, fleshy and spongy; submergent maturation, irregularly dehiscent. Seeds with inflated arils, numerous, dispersal hydrochory (NZ Flora Online).",NA,herb,NA,"NZ Flora Online: coast, lowland, open, sand, sheltered, silt; NZPCN: Still and slow flowing water bodies, usually found growing in ornamental pools",riparian,aril,aquatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NZ Flora Online,water,NA,NA,rare,2022-06-08T00:00:00Z,45051,NA,0,0,NA
Nymphaea mexicana Zucc.,Nymphaea mexicana,NA,mexican water lily,"Nymphaea spp. Fruit berry-like, fleshy and spongy; submergent maturation, irregularly dehiscent. Seeds with inflated arils, numerous, dispersal hydrochory (NZ Flora Online).",NA,herb,NA,NZ Flora Online: moist; NZPCN: Still and slow flowing water bodies,riparian,aril,aquatic,mucilage and gas bubbles in aril tissue,NA,water,NA,water,internal,NA,NA,NA,NA,Bonilla-Barbosa et al. 2000; Almeida et al. 2025,"Reproduces by rhizomes, tubers, and seed. Dispersed by water movement and deliberate plantings (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)).",the presence of mucilage and stored gas bubbles in the aril tissue it is believed that aril aids in seed flotation and dispersal (Bonilla-Barbosa et al. 2000). Seeds ingested by waterfowl in North America (Almeida et al. 2025).,NA,NA,2022-06-08T00:00:00Z,45051,NA,2,1,1
